# source_id	kind	status	crystal_refs	notes
token/token.go::const::WINDOW_BAR_SIZE	const	missing	-	auto-generated
token/token.go::func::IsCommand	func	missing	-	auto-generated
token/token.go::func::IsModifier	func	missing	-	auto-generated
token/token.go::func::IsSetting	func	missing	-	auto-generated
token/token.go::func::LookupIdentifier	func	missing	-	auto-generated
token/token.go::func::ToCamel	func	missing	-	auto-generated
token/token.go::method::Type.String	method	missing	-	auto-generated
token/token.go::struct::Token	struct	missing	-	auto-generated
token/token.go::type::Type	type	missing	-	auto-generated
token/token_test.go::test::TestToCamel	test	missing	-	auto-generated
vhs.go::func::DefaultVHSOptions	func	missing	-	auto-generated
vhs.go::func::New	func	missing	-	auto-generated
vhs.go::method::VHS.ApplyLoopOffset	method	missing	-	auto-generated
vhs.go::method::VHS.Cleanup	method	missing	-	auto-generated
vhs.go::method::VHS.PauseRecording	method	missing	-	auto-generated
vhs.go::method::VHS.Record	method	missing	-	auto-generated
vhs.go::method::VHS.Render	method	missing	-	auto-generated
vhs.go::method::VHS.ResumeRecording	method	missing	-	auto-generated
vhs.go::method::VHS.ScreenshotNextFrame	method	missing	-	auto-generated
vhs.go::method::VHS.Setup	method	missing	-	auto-generated
vhs.go::method::VHS.Start	method	missing	-	auto-generated
vhs.go::struct::Options	struct	missing	-	auto-generated
vhs.go::struct::VHS	struct	missing	-	auto-generated
video.go::func::DefaultVideoOptions	func	missing	-	auto-generated
video.go::func::MakeGIF	func	missing	-	auto-generated
video.go::func::MakeMP4	func	missing	-	auto-generated
video.go::func::MakeWebM	func	missing	-	auto-generated
video.go::struct::VideoOptions	struct	missing	-	auto-generated
video.go::struct::VideoOutputs	struct	missing	-	auto-generated
